Record_ID,Noise_Type,SNR_Level,Filter_Technique,Original_SNR,Improved_SNR,SNR_Gain,Original_MSE,Improved_MSE
100,PL_G,24,Savitzky-Golay,23.969909587428667,14.531319682289594,-9.438589905139073,0.0001000206770533929,0.0008789188535063888
100,PL_G,24,Wavelet,23.969909587428667,16.140918658695714,-7.828990928732953,0.0001000206770533929,0.0006067207984985899
100,PL_G,24,Moving Average,23.969909587428667,18.989002544111163,-4.9809070433175044,0.0001000206770533929,0.0003149056801525975
100,PL,-6,Butterworth,-6.017045869891861,6.632060807919333,12.649106677811194,0.09972070397988478,0.0054184449819855195
100,PL,-6,Savitzky-Golay,-6.017045869891861,7.374319870493206,13.391365740385067,0.09972070397988478,0.0045671866622607315
100,PL,-6,Wavelet,-6.017045869891861,-1.6591398212337634,4.357906048658098,0.09972070397988478,0.03655903560303328
100,PL,-6,Moving Average,-6.017045869891861,3.1603621886435,9.177408058535361,0.09972070397988478,0.012051595037154653
100,PL,0,Butterworth,-0.015023946042955866,12.607815982497936,12.622839928540891,0.02503704923482474,0.0013686712684449456
100,PL,0,Savitzky-Golay,-0.015023946042955866,11.382860060915093,11.397884006958048,0.02503704923482474,0.0018146578120176848
100,PL,0,Wavelet,-0.015023946042955866,4.280364102357545,4.295388048400501,0.02503704923482474,0.00931202940130842
100,PL,0,Moving Average,-0.015023946042955866,8.889249844193195,8.90427379023615,0.02503704923482474,0.0032222242691217246
100,PL,6,Butterworth,5.99025398352659,18.034343349733675,12.044089366207086,0.0062813840934156685,0.00039232538877962564
100,PL,6,Savitzky-Golay,5.99025398352659,13.526211657838285,7.535957674311695,0.0062813840934156685,0.001107795465107774
100,PL,6,Wavelet,5.99025398352659,9.819694073129591,3.8294400896030014,0.0062813840934156685,0.0026008262597496177
100,PL,6,Moving Average,5.99025398352659,13.832351522947615,7.842097539421025,0.0062813840934156685,0.0010323942961781968
100,PL,12,Butterworth,11.984912829750002,22.332012671269442,10.34709984151944,0.0015797540076344125,0.00014584094899540594
100,PL,12,Savitzky-Golay,11.984912829750002,14.280763117259916,2.2958502875099143,0.0015797540076344125,0.0009311173883227461
100,PL,12,Wavelet,11.984912829750002,13.77882238129046,1.7939095515404588,0.0015797540076344125,0.0010451978570569288
100,PL,12,Moving Average,11.984912829750002,17.116498881102913,5.131586051352912,0.0015797540076344125,0.00048465295010476555
100,PL,18,Butterworth,17.956841707007204,24.692065964018923,6.735224257011719,0.00039938944025449713,8.469819444691779e-05
100,PL,18,Savitzky-Golay,17.956841707007204,14.493907366929037,-3.462934340078167,0.00039938944025449713,0.0008865230094448854
100,PL,18,Wavelet,17.956841707007204,15.653697940007326,-2.3031437669998773,0.00039938944025449713,0.0006787517381814595
100,PL,18,Moving Average,17.956841707007204,18.562884031424435,0.6060423244172313,0.00039938944025449713,0.00034737002956986425
100,PL,24,Butterworth,23.98500355186848,25.593059477264966,1.608055925396485,9.967365720032028e-05,6.882952953028083e-05
100,PL,24,Savitzky-Golay,23.98500355186848,14.549794640085503,-9.435208911782977,9.967365720032028e-05,0.0008751878599088579
100,PL,24,Wavelet,23.98500355186848,16.178535391240253,-7.806468160628228,9.967365720032028e-05,0.0006014883355492501
100,PL,24,Moving Average,23.98500355186848,19.028304162211715,-4.956699389656766,9.967365720032028e-05,0.0003120687867631701
100,G,-6,Butterworth,-6.006971942569757,0.4842587525928687,6.491230695162626,0.09948965915847255,0.022317979457582356
100,G,-6,Savitzky-Golay,-6.006971942569757,1.950309322129289,7.957281264699047,0.09948965915847255,0.0159239137476379
100,G,-6,Wavelet,-6.006971942569757,-2.5847478187790314,3.422224123790726,0.09948965915847255,0.0452434308705454
100,G,-6,Moving Average,-6.006971942569757,0.9136514261382536,6.920623368708011,0.09948965915847255,0.020216948563459916
100,G,0,Butterworth,-0.00909524456330378,6.446635179271622,6.455730423834926,0.02500289362733018,0.005654799759228201
100,G,0,Savitzky-Golay,-0.00909524456330378,7.286315668140326,7.29541091270363,0.02500289362733018,0.004660678888610076
100,G,0,Wavelet,-0.00909524456330378,3.4175622444731473,3.426657489036451,0.02500289362733018,0.011358592636182416
100,G,0,Moving Average,-0.00909524456330378,6.721406999574818,6.730502244138122,0.02500289362733018,0.005308111645516451
100,G,6,Butterworth,5.999616466348698,12.323682341830125,6.324065875481427,0.006267857325679678,0.0014612095924594684
100,G,6,Savitzky-Golay,5.999616466348698,11.370732422517289,5.371115956168591,0.006267857325679678,0.0018197323112809796
100,G,6,Wavelet,5.999616466348698,9.012261695889762,3.0126452295410644,0.006267857325679678,0.003132236738562081
100,G,6,Moving Average,5.999616466348698,12.057726914188356,6.058110447839658,0.006267857325679678,0.0015534885525450624
100,G,12,Butterworth,11.993346550067532,17.769406441984234,5.776059891916702,0.0015766892034538385,0.0004170038883452333
100,G,12,Savitzky-Golay,11.993346550067532,13.510054499996455,1.5167079499289233,0.0015766892034538385,0.0011119244980494448
100,G,12,Wavelet,11.993346550067532,13.242214174527696,1.2488676244601642,0.0015766892034538385,0.0011826584286878325
100,G,12,Moving Average,11.993346550067532,16.06355179659763,4.070205246530097,0.0015766892034538385,0.0006176259986303387
100,G,18,Butterworth,17.999102122636668,22.153777724293768,4.1546756016571,0.0003955219010617249,0.000151950794895336
100,G,18,Savitzky-Golay,17.999102122636668,14.280165915939872,-3.718936206696796,0.0003955219010617249,0.0009312454357169956
100,G,18,Wavelet,17.999102122636668,15.390523740255524,-2.6085783823811433,0.0003955219010617249,0.0007211545944561524
100,G,18,Moving Average,17.999102122636668,18.178448516926863,0.17934639429019583,0.0003955219010617249,0.0003795210746267787
100,G,24,Butterworth,23.999901449074915,24.652870069563782,0.652968620488867,9.933232569682399e-05,8.546607149961551e-05
100,G,24,Savitzky-Golay,23.999901449074915,14.493456277476906,-9.50644517159801,9.933232569682399e-05,0.0008866150948763903
100,G,24,Wavelet,23.999901449074915,16.071566122822958,-7.928335326251958,9.933232569682399e-05,0.0006164873030902793
100,G,24,Moving Average,23.999901449074915,18.915153216620205,-5.084748232454711,9.933232569682399e-05,0.0003203062604357729
100,G_BW_PL_MA_EM,-6,Butterworth,-3.868678164985101,8.4321707734115,12.300848938396602,0.060806298237352355,0.0035798404535243877
